,T_004,T_005,T_010,T_011,T_018,T_019,T_025,T_026,T_031,T_032,T_038,T_039,T_042,T_043,T_045,T_046,T_048,T_049,T_051,T_052,T_053,T_054,T_056,T_057,T_059,T_060,T_061,T_062,T_063,T_064,T_066,T_067,T_069,T_070,T_071,T_072,T_074,T_075,T_077,T_078,T_080,T_081,T_082,T_083,T_084,T_085,T_087,T_088,T_090,T_091,T_093,T_094,T_096,T_097,T_098,T_099,T_101,T_102
hsa-miR-6882-5p,1.445045778,1.642378055,1.798264598,1.555062566,1.175944395,2.662231681,1.904427119,3.496968089,2.734602896,2.464554388,1.588134565,1.757578196,3.27819538,2.270148067,2.926235298,0,2.584376567,1.498452038,3.798342156,1.917060542,3.258036111,1.662098636,1.368447049,0.765577113,2.979210666,0,2.664624482,1.79292025,0.711632444,2.1647418,2.66823721,0,1.77680424,1.753136517,2.804437073,2.321667817,2.503611581,1.123865735,2.284831213,2.076766193,4.969718707,2.193625989,3.10380388,2.155135932,2.103079068,2.163668234,0,2.5733705,4.179509148,5.469106105,2.310016022,5.99711226,1.919433159,1.935362391,2.608510202,0.897696928,2.297428685,1.176458743
hsa-miR-6883-3p,1.565466259,2.986141919,2.247830748,1.555062566,1.469930494,2.928454849,1.19026695,2.024560473,2.278835746,2.310519739,2.268763664,2.077137868,2.622556304,2.136609945,1.300549021,0,1.722917712,1.83144138,1.899171078,0,0,1.454336307,0,0,1.191684266,1.720136539,2.243894301,1.79292025,1.067448666,2.814164339,1.867766047,0,0.59226808,3.155645731,1.635921626,1.570539994,1.990050231,3.371597206,0,1.615262595,0,1.828021658,1.357914197,2.281908634,2.219916793,3.090954619,1.35318577,2.358922958,2.786339432,2.734553053,2.002013886,2.725960118,1.199645724,1.935362391,1.863221573,2.094626166,2.144266772,1.470573429
hsa-miR-6883-5p,0,0,0.899132299,0.388765641,1.469930494,0,1.666373729,0,1.823068597,2.15648509,2.268763664,3.19559672,2.622556304,0.934766851,0,1.628508854,1.47678661,1.664946709,1.899171078,0,0,0,0,0,1.489605333,0,2.103650907,2.017035281,1.067448666,2.1647418,0.800471163,2.805112366,0,0,0,2.116814775,2.0542454,0,0,0,1.505975366,1.218681105,2.133865167,1.774817827,1.75256589,0,2.706371541,0.857790167,0,1.823035368,2.310016022,1.635576071,2.159362304,1.474561822,1.490577258,0.897696928,2.450590597,2.0588028
hsa-miR-6884-5p,1.565466259,0,0,0.777531283,0,0,1.785400424,0,0,0,0,0,0.983458614,0,0,0,1.230655508,0,0,0,1.706590344,2.077623295,0,0,0,0,1.402433938,0,0,0,0,0,0.59226808,0,0,1.433971299,1.604879218,0,0,0,0,2.193625989,1.357914197,1.521272423,2.687267697,0,4.059557311,2.5733705,0,0,0,0,1.599527632,1.013761253,1.863221573,0,1.531619123,0
hsa-miR-6885-3p,0,0,0,0,0,0,1.19026695,0,0,0,0,0,0,1.602457459,0,0,1.230655508,0,0,0,0,0,0,0,0,0,1.402433938,0,1.423264888,0,0,0,0,0,0,1.433971299,0.962927531,0,0,0,1.505975366,1.218681105,0.387975485,0,0,0,0.676592885,0.857790167,0,0,0,0,0.879740198,1.474561822,0,0,0,1.176458743
hsa-miR-6885-5p,1.324625296,0,0,0,0,0,2.618587289,0,2.278835746,0,1.134381832,0.79889918,0,0.934766851,0,0,1.722917712,0,1.208563413,1.171536998,1.551445767,1.038811648,0.27368941,3.827885563,2.6812896,1.337883975,2.804867876,0,0.711632444,1.94826762,0,0,1.18453616,0,1.168515447,0.819412171,3.466539112,0,2.284831213,0,0,1.340549216,0.581963227,0,1.518890438,0,0.676592885,1.072237708,0,0.911517684,2.002013886,0,4.078795462,1.013761253,0.745288629,1.496161547,0,2.352917486
hsa-miR-6886-3p,1.324625296,2.090299343,1.798264598,0,1.469930494,0.266223168,1.785400424,1.840509521,2.278835746,0,0,1.917358032,0,1.335381216,1.950823532,2.239199674,0,0,2.071822994,0,0,1.662098636,3.284272917,1.913942781,0,0,1.682920726,0.896460125,2.490713554,0,1.334118605,2.103834275,0.29613404,0.701254607,0,1.297402604,2.182635737,1.123865735,4.284058525,1.384510795,0.150597537,1.462417326,0,1.267727019,1.518890438,2.163668234,3.382964426,1.930027875,0.696584858,0,2.156014954,0,1.919433159,1.290241594,0,0,0,1.323516086
hsa-miR-6886-5p,1.445045778,1.642378055,0,0,0,0,0,0,1.367301448,1.848415791,0,2.236917704,0,1.869533702,0.975411766,0,0,1.83144138,0.690607665,1.384543725,0,0,0,0.765577113,0,0,0,0,0,0,0,0,0,0,0,1.365686951,1.283903375,0,3.141642918,2.307517992,1.656572902,1.828021658,0,1.394499721,1.16837726,1.236381848,2.706371541,1.501132792,0,0,1.078007477,1.090384047,1.519551251,1.474561822,0,0,0,1.911745457
hsa-miR-6887-3p,0.602102407,0,0,0,0,0,1.19026695,1.840509521,1.823068597,1.540346493,0,0,0,0,1.788254904,0,1.47678661,1.331957367,0,0,2.482313228,0.831049318,0,0,0,0,1.82316412,1.344690188,1.423264888,0,1.067294884,0,0.88840212,0,1.402218536,2.185099122,1.733269556,0,4.284058525,1.153758996,1.505975366,0,2.133865167,1.394499721,2.219916793,2.163668234,0,0,0,0,0,1.635576071,1.919433159,1.013761253,3.726443146,0,0,0
hsa-miR-6887-5p,1.204204815,0,0.899132299,1.166296924,2.939860989,2.662231681,1.785400424,1.840509521,1.367301448,1.694381142,1.361258198,1.59779836,2.294736766,1.335381216,0,1.424945247,3.322769872,0.665978684,0,1.278040361,0,2.285385625,3.284272917,1.531154225,1.489605333,0,1.542677332,0.896460125,1.423264888,2.1647418,2.935060931,1.753195229,1.4806702,1.753136517,0.701109268,2.25338347,2.182635737,0,3.141642918,0,1.204780293,2.802966542,1.939877425,2.408681336,1.869403616,0,4.059557311,2.144475417,0.696584858,0.911517684,1.540010681,1.635576071,1.679504014,1.843202277,0,1.496161547,1.99110486,2.205860143
hsa-miR-6888-5p,0,0,0,0,0,0,0,0,0,1.540346493,0,1.917358032,0,0.801228729,0,0,0,0.832473354,0,1.171536998,0,0,0,0,0,0,0,2.465265344,0,0,1.867766047,0,0,0,0,1.297402604,0.962927531,0,0,0,0,0,0,1.267727019,1.285214986,0,0,0,0,0,0.616004273,2.180768095,0.879740198,1.474561822,0,0,0,1.617630771
hsa-miR-6889-5p,0,1.940992247,1.798264598,0.777531283,0.587972198,1.597339008,1.19026695,0,2.506719321,1.694381142,2.49564003,1.438018524,0.983458614,0.934766851,0,0.203563607,1.599852161,0.665978684,0,1.278040361,1.861734921,0,0.821068229,0,0.8937632,0,0,1.568805219,1.77908111,1.29884508,2.66823721,1.402556183,0,1.402509214,0,1.229118256,1.54068405,0,0,0,1.807170439,1.949889768,0.969938712,1.648045125,1.402052712,0,1.35318577,0.857790167,1.393169716,0.911517684,1.848012818,1.635576071,1.199645724,1.19808148,0,0.299232309,2.144266772,1.617630771
hsa-miR-6890-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.682920726,0,0,0,0,0,0,0,0,1.229118256,1.219708206,0,0,0,0,2.193625989,0,1.394499721,0,0,0.676592885,0.857790167,0,0,0,0,0.959716579,1.105921366,0,0,0,0
hsa-miR-6891-3p,0,1.642378055,0,0,0,2.662231681,1.547347034,2.208611425,0,1.848415791,0,0.79889918,0,1.73599558,1.950823532,2.035636067,1.353721059,1.997936051,2.589778743,1.597550451,0,2.700910284,1.642136459,0,1.7875264,0,1.542677332,0,1.77908111,1.29884508,0,1.753195229,1.4806702,3.155645731,2.103327804,1.229118256,2.375221243,2.247731471,0,1.153758996,1.807170439,2.071757879,1.163926455,1.774817827,1.402052712,0.927286386,4.736150196,2.5733705,0.696584858,1.823035368,2.156014954,3.271152142,1.599527632,1.382401708,0,0,0,1.911745457
